A1BG	chr19	58345177	58353492	ENST00000263100.8	alpha-1-B glycoprotein
A1BG-AS1	chr19	58347717	58355455		A1BG antisense RNA 1
A1CF	chr10	50799408	50885675	ENST00000373997.8	APOBEC1 complementation factor
A2M	chr12	9067663	9116229	ENST00000318602.12	alpha-2-macroglobulin
A2M-AS1	chr12	9065162	9068689		A2M antisense RNA 1
A2ML1	chr12	8822620	8887001	ENST00000299698.12	alpha-2-macroglobulin like 1
A2ML1-AS1	chr12	8776218	8830947		A2ML1 antisense RNA 1
A2ML1-AS2	chr12	8819815	8820713		A2ML1 antisense RNA 2
A3GALT2	chr1	33306765	33321098	ENST00000442999.3	alpha 1,3-galactosyltransferase 2
A4GALT	chr22	42692120	42721298	ENST00000642412.2	alpha 1,4-galactosyltransferase (P1PK blood group)
A4GNT	chr3	138123712	138132390	ENST00000236709.4	alpha-1,4-N-acetylglucosaminyltransferase
AAAS	chr12	53307455	53324864	ENST00000209873.9	aladin WD repeat nucleoporin
AAAS	chr12_MU273372v1_fix	31205	48614	ENST00000209873.9	aladin WD repeat nucleoporin
AACS	chr12	125065433	125143333	ENST00000316519.11	acetoacetyl-CoA synthetase
AADAC	chr3	151814072	151828488	ENST00000232892.12	arylacetamide deacetylase
AADACL2	chr3	151733915	151761339	ENST00000356517.4	arylacetamide deacetylase like 2
AADACL2	chr3_GL383526v1_alt	155088	180671	ENST00000356517.4	arylacetamide deacetylase like 2
AADACL2-AS1	chr3	151552377	151928178		AADACL2 antisense RNA 1
AADACL2-AS1	chr3_GL383526v1_alt	172615	176304		AADACL2 antisense RNA 1
AADACL3	chr1	12716109	12728760	ENST00000359318.8	arylacetamide deacetylase like 3
AADACL4	chr1	12644084	12667076	ENST00000376221.2	arylacetamide deacetylase like 4
AADAT	chr4	170060221	170091699	ENST00000337664.9	aminoadipate aminotransferase
AAGAB	chr15	67200666	67255195	ENST00000261880.10	alpha and gamma adaptin binding protein
AAK1	chr2	69457996	69674349	ENST00000409085.9	AP2 associated kinase 1
AAMDC	chr11	77821108	77918432	ENST00000393427.7	adipogenesis associated Mth938 domain containing
AAMP	chr2	218264128	218270178	ENST00000248450.9	angio associated migratory cell protein
AANAT	chr17	76453350	76470117	ENST00000392492.8	aralkylamine N-acetyltransferase
AAR2	chr20	36236130	36270918	ENST00000320849.9	AAR2 splicing factor
AARD	chr8	116938206	116944487	ENST00000378279.4	alanine and arginine rich domain containing protein
